date,open,close,high,low,volume,amount
2023-05-29,10.262,10.132,10.282,10.102,566074.0,0
2023-05-30,10.132,10.022,10.142,9.952,763997.0,0
2023-05-31,9.972,9.752,9.992,9.732,1179587.0,0
2023-06-01,9.752,9.742,9.832,9.652,743023.0,0
2023-06-02,9.832,10.082,10.122,9.792,1221843.0,0
2023-06-05,10.032,10.062,10.152,9.972,521846.0,0
2023-06-06,10.062,9.992,10.242,9.972,833273.0,0
2023-06-07,10.042,10.092,10.222,10.032,643698.0,0
2023-06-08,10.112,10.272,10.352,10.012,869397.0,0
2023-06-09,10.212,10.032,10.242,10.002,1315285.0,0
2023-06-12,9.972,9.942,10.052,9.912,758747.0,0
2023-06-13,9.912,9.922,9.992,9.842,849988.0,0
2023-06-14,9.987,9.907,10.167,9.897,1069200.0,0
2023-06-15,9.927,10.047,10.067,9.827,925301.0,0
2023-06-16,10.047,10.067,10.107,10.007,842034.0,0
2023-06-19,10.067,9.887,10.067,9.847,953997.0,0
2023-06-20,9.877,9.797,9.897,9.787,544551.0,0
2023-06-21,9.797,9.787,9.917,9.777,616583.0,0
2023-06-26,9.737,9.617,9.737,9.587,676577.0,0
2023-06-27,9.637,9.717,9.757,9.607,461702.0,0
2023-06-28,9.717,9.737,9.767,9.657,365396.0,0
2023-06-29,9.727,9.617,9.727,9.607,485906.0,0
2023-06-30,9.617,9.667,9.747,9.587,519053.0,0
2023-07-03,9.677,9.927,9.967,9.667,885091.0,0
2023-07-04,9.897,9.837,9.927,9.757,616301.0,0
2023-07-05,9.797,9.777,9.837,9.737,423482.0,0
2023-07-06,9.737,9.677,9.777,9.647,597096.0,0
2023-07-07,9.637,9.637,9.707,9.617,484441.0,0
2023-07-10,9.687,9.637,9.717,9.607,495882.0,0
2023-07-11,9.657,9.647,9.697,9.627,570809.0,0
2023-07-12,9.667,9.677,9.797,9.657,736084.0,0
2023-07-13,9.757,9.867,9.907,9.707,1124230.0,0
2023-07-14,9.867,9.897,9.987,9.837,719147.0,0
2023-07-17,9.847,9.747,9.847,9.697,608343.0,0
2023-07-18,9.727,9.687,9.757,9.657,471966.0,0
2023-07-19,9.667,9.747,9.757,9.667,382196.0,0
2023-07-20,9.767,9.757,9.877,9.727,554070.0,0
2023-07-21,9.747,9.777,9.827,9.717,377103.0,0
2023-07-24,9.767,9.697,9.767,9.677,426852.0,0
2023-07-25,9.887,10.157,10.167,9.877,2032958.0,0
2023-07-26,10.087,10.107,10.177,9.997,751663.0,0
2023-07-27,10.117,10.187,10.307,10.087,1115196.0,0
2023-07-28,10.127,10.697,10.737,10.107,2347013.0,0
2023-07-31,10.737,10.757,10.937,10.667,1854952.0,0
2023-08-01,10.697,10.597,10.807,10.567,957735.0,0
2023-08-02,10.497,10.467,10.677,10.367,1115900.0,0
2023-08-03,10.427,10.767,10.807,10.387,1175848.0,0
2023-08-04,10.857,10.737,10.967,10.647,1303131.0,0
2023-08-07,10.647,10.597,10.687,10.557,646913.0,0
2023-08-08,10.557,10.537,10.647,10.437,725705.0,0
2023-08-09,10.497,10.607,10.637,10.487,577608.0,0
2023-08-10,10.587,10.597,10.647,10.497,475595.0,0
2023-08-11,10.607,10.327,10.707,10.327,943539.0,0
2023-08-14,10.197,10.107,10.217,10.027,975920.0,0
2023-08-15,10.127,10.167,10.237,10.037,712813.0,0
2023-08-16,10.107,10.167,10.287,10.047,572904.0,0
2023-08-17,10.107,10.007,10.137,9.897,965058.0,0
2023-08-18,10.017,9.997,10.177,9.967,659819.0,0
2023-08-21,9.997,9.757,10.017,9.757,701498.0,0
2023-08-22,9.817,9.807,9.887,9.747,606808.0,0
2023-08-23,9.787,9.687,9.857,9.677,691810.0,0
2023-08-24,9.727,9.567,9.757,9.487,1291271.0,0
2023-08-25,9.537,9.667,9.767,9.517,845350.0,0
