date,open,close,high,low,volume,amount
2025-05-28,6.73,6.68,6.76,6.67,407588.0,0
2025-05-29,6.67,6.7,6.73,6.67,463601.0,0
2025-05-30,6.68,6.64,6.7,6.64,487420.0,0
2025-06-03,6.58,6.58,6.6,6.54,646833.0,0
2025-06-04,6.59,6.62,6.64,6.57,506252.0,0
2025-06-05,6.61,6.64,6.66,6.59,511213.0,0
2025-06-06,6.64,6.6,6.66,6.59,452611.0,0
2025-06-09,6.6,6.62,6.64,6.58,443997.0,0
2025-06-10,6.63,6.6,6.73,6.56,1041358.0,0
2025-06-11,6.57,6.57,6.61,6.54,990421.0,0
2025-06-12,6.55,6.51,6.56,6.48,1076521.0,0
2025-06-13,6.5,6.44,6.51,6.42,876150.0,0
2025-06-16,6.46,6.57,6.63,6.45,1302348.0,0
2025-06-17,6.57,6.53,6.58,6.51,582391.0,0
2025-06-18,6.51,6.44,6.53,6.42,635396.0,0
2025-06-19,6.42,6.32,6.43,6.3,854546.0,0
2025-06-20,6.33,6.29,6.34,6.28,524485.0,0
2025-06-23,6.26,6.29,6.3,6.21,551512.0,0
2025-06-24,6.29,6.35,6.37,6.28,620283.0,0
2025-06-25,6.34,6.43,6.43,6.32,820904.0,0
2025-06-26,6.42,6.39,6.44,6.38,660621.0,0
2025-06-27,6.39,6.39,6.48,6.38,786786.0,0
2025-06-30,6.4,6.42,6.45,6.39,604073.0,0
2025-07-01,6.42,6.35,6.42,6.31,598318.0,0
2025-07-02,6.36,6.5,6.52,6.34,1310859.0,0
2025-07-03,6.48,6.46,6.55,6.44,810140.0,0
2025-07-04,6.48,6.44,6.52,6.41,786688.0,0
2025-07-07,6.44,6.52,6.59,6.44,1205381.0,0
2025-07-08,6.51,6.56,6.58,6.47,934783.0,0
2025-07-09,6.54,6.54,6.58,6.52,735917.0,0
2025-07-10,6.52,6.76,6.87,6.51,2517029.0,0
2025-07-11,6.75,6.76,6.79,6.68,1628707.0,0
2025-07-14,6.73,6.66,6.79,6.63,1205525.0,0
2025-07-15,6.64,6.6,6.65,6.46,1521320.0,0
2025-07-16,6.55,6.56,6.65,6.53,849081.0,0
2025-07-17,6.56,6.56,6.59,6.51,709664.0,0
2025-07-18,6.57,6.57,6.59,6.54,574030.0,0
2025-07-21,6.56,6.6,6.61,6.55,744111.0,0
2025-07-22,6.61,6.7,6.72,6.53,1488010.0,0
2025-07-23,6.73,6.72,6.83,6.68,1706754.0,0
2025-07-24,6.7,6.81,6.84,6.67,1842330.0,0
2025-07-25,6.81,6.78,6.84,6.76,1235949.0,0
2025-07-28,6.78,6.79,6.84,6.68,1194042.0,0
2025-07-29,6.76,6.81,6.81,6.7,993479.0,0
2025-07-30,6.8,6.7,6.88,6.69,1589278.0,0
2025-07-31,6.67,6.44,6.68,6.42,2299511.0,0
2025-08-01,6.44,6.39,6.46,6.39,923604.0,0
2025-08-04,6.37,6.41,6.41,6.35,590304.0,0
2025-08-05,6.41,6.45,6.45,6.39,652634.0,0
2025-08-06,6.43,6.44,6.45,6.4,568470.0,0
2025-08-07,6.43,6.47,6.48,6.4,776038.0,0
2025-08-08,6.46,6.45,6.47,6.42,514307.0,0
2025-08-11,6.48,6.48,6.52,6.47,821789.0,0
2025-08-12,6.46,6.47,6.5,6.45,734218.0,0
2025-08-13,6.48,6.46,6.5,6.43,810742.0,0
2025-08-14,6.46,6.43,6.55,6.43,1201423.0,0
2025-08-15,6.43,6.53,6.59,6.42,1595368.0,0
2025-08-18,6.53,6.5,6.56,6.48,1381625.0,0
2025-08-19,6.54,6.53,6.61,6.51,1624187.0,0
2025-08-20,6.52,6.55,6.6,6.49,1299582.0,0
2025-08-21,6.55,6.56,6.59,6.53,1294784.0,0
2025-08-22,6.56,6.56,6.56,6.51,1307699.0,0
2025-08-25,6.66,7.16,7.22,6.65,7923898.0,0
2025-08-26,6.98,6.99,7.03,6.9,4379464.0,0
2025-08-27,6.95,6.74,7.01,6.74,2976152.0,0
2025-08-28,6.75,6.77,6.81,6.62,2119089.0,0
2025-08-29,6.89,6.79,6.92,6.78,1979393.0,0
2025-09-01,6.76,6.81,6.86,6.7,1406825.0,0
2025-09-02,6.8,6.72,6.89,6.68,2060250.0,0
2025-09-03,6.75,6.58,6.79,6.56,1745943.0,0
2025-09-04,6.59,6.53,6.6,6.48,1537225.0,0
2025-09-05,6.53,6.59,6.59,6.49,1171091.0,0
2025-09-08,6.72,6.76,6.89,6.72,2320377.0,0
2025-09-09,6.79,6.86,6.91,6.74,2179398.0,0
2025-09-10,6.81,6.86,6.86,6.76,1397197.0,0
2025-09-11,6.82,6.83,6.84,6.73,1462905.0,0
2025-09-12,6.83,6.94,7.14,6.83,3220892.0,0
2025-09-15,6.92,6.97,7.04,6.82,2289230.0,0
2025-09-16,6.95,7.04,7.05,6.89,2226805.0,0
2025-09-17,7.03,7.05,7.08,6.93,1663640.0,0
2025-09-18,6.98,6.77,6.99,6.72,2552969.0,0
2025-09-19,6.75,6.98,7.04,6.68,2733152.0,0
2025-09-22,6.9,7.0,7.1,6.83,2259039.0,0
2025-09-23,6.94,6.76,6.95,6.68,1845203.0,0
2025-09-24,6.71,6.84,6.94,6.69,1571675.0,0
2025-09-25,6.83,6.8,6.9,6.76,1234020.0,0
2025-09-26,6.76,6.8,6.98,6.73,1509024.0,0
2025-09-29,6.78,6.81,6.87,6.65,1634572.0,0
2025-09-30,6.8,6.89,6.93,6.76,1763049.0,0
2025-10-09,6.8,6.79,6.81,6.6,2523403.0,0
2025-10-10,6.72,6.75,6.89,6.72,1548340.0,0
2025-10-13,6.52,6.57,6.63,6.47,2177743.0,0
