ID,场次,时间,日期,库存ID,状态
1510469,场地1,10:31-11:30,2025-12-01,91563,可预订
1510477,场地1,11:31-12:30,2025-12-01,91564,可预订
1510485,场地1,12:31-13:30,2025-12-01,91565,可预订
1510493,场地1,13:31-14:30,2025-12-01,91566,可预订
1510501,场地1,14:31-15:30,2025-12-01,91567,可预订
1510509,场地1,15:31-16:30,2025-12-01,91568,可预订
1510517,场地1,16:31-17:30,2025-12-01,91569,可预订
1510525,场地1,17:31-18:30,2025-12-01,91570,可预订
1510533,场地1,18:31-19:30,2025-12-01,91571,可预订
1510541,场地1,19:31-20:30,2025-12-01,91572,可预订
1510549,场地1,20:31-21:30,2025-12-01,91573,可预订
1510573,场地1,10:31-11:30,2025-12-02,91576,可预订
1510581,场地1,11:31-12:30,2025-12-02,91577,可预订
1510589,场地1,12:31-13:30,2025-12-02,91578,可预订
1510597,场地1,13:31-14:30,2025-12-02,91579,可预订
1510605,场地1,14:31-15:30,2025-12-02,91580,可预订
1510613,场地1,15:31-16:30,2025-12-02,91581,可预订
1510621,场地1,16:31-17:30,2025-12-02,91582,可预订
1510629,场地1,17:31-18:30,2025-12-02,91583,可预订
1510637,场地1,18:31-19:30,2025-12-02,91584,可预订
1510645,场地1,19:31-20:30,2025-12-02,91585,可预订
1510653,场地1,20:31-21:30,2025-12-02,91586,可预订
1510677,场地1,10:31-11:30,2025-12-03,91589,可预订
1510685,场地1,11:31-12:30,2025-12-03,91590,可预订
1510693,场地1,12:31-13:30,2025-12-03,91591,可预订
1510701,场地1,13:31-14:30,2025-12-03,91592,可预订
1510709,场地1,14:31-15:30,2025-12-03,91593,可预订
1510717,场地1,15:31-16:30,2025-12-03,91594,可预订
1510725,场地1,16:31-17:30,2025-12-03,91595,可预订
1510733,场地1,17:31-18:30,2025-12-03,91596,可预订
1510741,场地1,18:31-19:30,2025-12-03,91597,可预订
1510749,场地1,19:31-20:30,2025-12-03,91598,可预订
1510757,场地1,20:31-21:30,2025-12-03,91599,可预订
1510470,场地2,10:31-11:30,2025-12-01,91563,可预订
1510478,场地2,11:31-12:30,2025-12-01,91564,可预订
1510486,场地2,12:31-13:30,2025-12-01,91565,可预订
1510494,场地2,13:31-14:30,2025-12-01,91566,可预订
1510502,场地2,14:31-15:30,2025-12-01,91567,可预订
1510510,场地2,15:31-16:30,2025-12-01,91568,可预订
1510518,场地2,16:31-17:30,2025-12-01,91569,可预订
1510542,场地2,19:31-20:30,2025-12-01,91572,可预订
1510550,场地2,20:31-21:30,2025-12-01,91573,可预订
1510574,场地2,10:31-11:30,2025-12-02,91576,可预订
1510582,场地2,11:31-12:30,2025-12-02,91577,可预订
1510590,场地2,12:31-13:30,2025-12-02,91578,可预订
1510598,场地2,13:31-14:30,2025-12-02,91579,可预订
1510606,场地2,14:31-15:30,2025-12-02,91580,可预订
1510614,场地2,15:31-16:30,2025-12-02,91581,可预订
1510622,场地2,16:31-17:30,2025-12-02,91582,可预订
1510630,场地2,17:31-18:30,2025-12-02,91583,可预订
1510638,场地2,18:31-19:30,2025-12-02,91584,可预订
1510646,场地2,19:31-20:30,2025-12-02,91585,可预订
1510654,场地2,20:31-21:30,2025-12-02,91586,可预订
1510678,场地2,10:31-11:30,2025-12-03,91589,可预订
1510686,场地2,11:31-12:30,2025-12-03,91590,可预订
1510694,场地2,12:31-13:30,2025-12-03,91591,可预订
1510702,场地2,13:31-14:30,2025-12-03,91592,可预订
1510710,场地2,14:31-15:30,2025-12-03,91593,可预订
1510718,场地2,15:31-16:30,2025-12-03,91594,可预订
1510726,场地2,16:31-17:30,2025-12-03,91595,可预订
1510750,场地2,19:31-20:30,2025-12-03,91598,可预订
1510758,场地2,20:31-21:30,2025-12-03,91599,可预订
1510503,场地3,14:31-15:30,2025-12-01,91567,可预订
1510511,场地3,15:31-16:30,2025-12-01,91568,可预订
1510519,场地3,16:31-17:30,2025-12-01,91569,可预订
1510527,场地3,17:31-18:30,2025-12-01,91570,可预订
1510535,场地3,18:31-19:30,2025-12-01,91571,可预订
1510543,场地3,19:31-20:30,2025-12-01,91572,可预订
1510551,场地3,20:31-21:30,2025-12-01,91573,可预订
1510607,场地3,14:31-15:30,2025-12-02,91580,可预订
1510615,场地3,15:31-16:30,2025-12-02,91581,可预订
1510623,场地3,16:31-17:30,2025-12-02,91582,可预订
1510631,场地3,17:31-18:30,2025-12-02,91583,可预订
1510639,场地3,18:31-19:30,2025-12-02,91584,可预订
1510647,场地3,19:31-20:30,2025-12-02,91585,可预订
1510655,场地3,20:31-21:30,2025-12-02,91586,可预订
1510711,场地3,14:31-15:30,2025-12-03,91593,可预订
1510719,场地3,15:31-16:30,2025-12-03,91594,可预订
1510727,场地3,16:31-17:30,2025-12-03,91595,可预订
1510735,场地3,17:31-18:30,2025-12-03,91596,可预订
1510743,场地3,18:31-19:30,2025-12-03,91597,可预订
1510751,场地3,19:31-20:30,2025-12-03,91598,可预订
1510759,场地3,20:31-21:30,2025-12-03,91599,可预订
1510504,场地4,14:31-15:30,2025-12-01,91567,可预订
1510512,场地4,15:31-16:30,2025-12-01,91568,可预订
1510520,场地4,16:31-17:30,2025-12-01,91569,可预订
1510528,场地4,17:31-18:30,2025-12-01,91570,可预订
1510608,场地4,14:31-15:30,2025-12-02,91580,可预订
1510616,场地4,15:31-16:30,2025-12-02,91581,可预订
1510624,场地4,16:31-17:30,2025-12-02,91582,可预订
1510632,场地4,17:31-18:30,2025-12-02,91583,可预订
1510712,场地4,14:31-15:30,2025-12-03,91593,可预订
1510720,场地4,15:31-16:30,2025-12-03,91594,可预订
1510728,场地4,16:31-17:30,2025-12-03,91595,可预订
1510736,场地4,17:31-18:30,2025-12-03,91596,可预订
1510473,场地5,10:31-11:30,2025-12-01,91563,可预订
1510481,场地5,11:31-12:30,2025-12-01,91564,可预订
1510505,场地5,14:31-15:30,2025-12-01,91567,可预订
1510513,场地5,15:31-16:30,2025-12-01,91568,可预订
1510521,场地5,16:31-17:30,2025-12-01,91569,可预订
1510529,场地5,17:31-18:30,2025-12-01,91570,可预订
1510577,场地5,10:31-11:30,2025-12-02,91576,可预订
1510585,场地5,11:31-12:30,2025-12-02,91577,可预订
1510609,场地5,14:31-15:30,2025-12-02,91580,可预订
1510617,场地5,15:31-16:30,2025-12-02,91581,可预订
1510625,场地5,16:31-17:30,2025-12-02,91582,可预订
1510649,场地5,19:31-20:30,2025-12-02,91585,可预订
1510657,场地5,20:31-21:30,2025-12-02,91586,可预订
1510681,场地5,10:31-11:30,2025-12-03,91589,可预订
1510689,场地5,11:31-12:30,2025-12-03,91590,可预订
1510713,场地5,14:31-15:30,2025-12-03,91593,可预订
1510721,场地5,15:31-16:30,2025-12-03,91594,可预订
1510729,场地5,16:31-17:30,2025-12-03,91595,可预订
1510737,场地5,17:31-18:30,2025-12-03,91596,可预订
1510474,场地6,10:31-11:30,2025-12-01,91563,可预订
1510482,场地6,11:31-12:30,2025-12-01,91564,可预订
1510490,场地6,12:31-13:30,2025-12-01,91565,可预订
1510498,场地6,13:31-14:30,2025-12-01,91566,可预订
1510506,场地6,14:31-15:30,2025-12-01,91567,可预订
1510514,场地6,15:31-16:30,2025-12-01,91568,可预订
1510522,场地6,16:31-17:30,2025-12-01,91569,可预订
1510530,场地6,17:31-18:30,2025-12-01,91570,可预订
1510578,场地6,10:31-11:30,2025-12-02,91576,可预订
1510586,场地6,11:31-12:30,2025-12-02,91577,可预订
1510594,场地6,12:31-13:30,2025-12-02,91578,可预订
1510602,场地6,13:31-14:30,2025-12-02,91579,可预订
1510610,场地6,14:31-15:30,2025-12-02,91580,可预订
1510618,场地6,15:31-16:30,2025-12-02,91581,可预订
1510626,场地6,16:31-17:30,2025-12-02,91582,可预订
1510634,场地6,17:31-18:30,2025-12-02,91583,可预订
1510642,场地6,18:31-19:30,2025-12-02,91584,可预订
1510650,场地6,19:31-20:30,2025-12-02,91585,可预订
1510658,场地6,20:31-21:30,2025-12-02,91586,可预订
1510682,场地6,10:31-11:30,2025-12-03,91589,可预订
1510690,场地6,11:31-12:30,2025-12-03,91590,可预订
1510698,场地6,12:31-13:30,2025-12-03,91591,可预订
1510706,场地6,13:31-14:30,2025-12-03,91592,可预订
1510714,场地6,14:31-15:30,2025-12-03,91593,可预订
1510722,场地6,15:31-16:30,2025-12-03,91594,可预订
1510730,场地6,16:31-17:30,2025-12-03,91595,可预订
1510738,场地6,17:31-18:30,2025-12-03,91596,可预订
1510523,场地7,16:31-17:30,2025-12-01,91569,可预订
