showName,showId,stdShowId,showDate,cityName,venueId,firstShowTime,lastShowTime,latestShowTime
【沈阳】2025陈小春 生∙旦∙净∙末∙丑巡回演唱会-沈阳站,68bfd0ef6e8a8400018918cd,68bfd0ef6e8a8400018918cb,2025.11.22 - 11.23,沈阳市,687769f55632f30001e207e4,1763811000000,1763902800000,1763811000000
【北京】滨崎步2025亚洲演唱会-北京站,68d20e539dd9b800014fed0a,68d20e539dd9b800014fed08,2025.11.01 19:00,北京市,571dec000cf22ad1941ae0ba,1761994800000,1762002000000,1761994800000
【北京】2025蔡琴「不要告别」巡回演唱会·北京,685a4b0c2c703c0001e8c2ff,685a4b0c2c703c0001e8c2fd,2025.11.08 19:00,北京市,576273800cf2326a5c7e182e,1762599600000,1762606800000,1762599600000
【大连】姜育恒 2025《永远》巡回演唱会大连站,68d24a6b8f3bf900013341cc,68d24a6b8f3bf900013341cb,2025.12.27 19:00,大连市,5d78da93908c384b4226cc33,1766833200000,1766840400000,1766833200000
【北京】胡海泉《流浪者食堂》2025年巡演-北京站,68529bd8afd26300012168fb,68529bd8afd26300012168f9,2025.11.02 19:30,北京市,576276820cf2326a5c7e184a,1762083000000,1762088400000,1762083000000
【北京】王赫野2025“去吹一场野的风”2.0演唱会北京站,68cbd0e509a10400011f104e,68cbd0e509a10400011f104c,2025.11.21 - 11.22,北京市,571dec000cf22ad1941ae0ba,1763722800000,1763814600000,1763722800000
【大连】老狼《纯真年代》巡回演唱会-大连站,68625559aadd6c0001bf5235,68625559aadd6c0001bf5234,2025.12.19 19:30,大连市,5c32b7ccc756b10b378180de,1766143800000,1766149200000,1766143800000
【郑州】声声不息——港乐经典金曲演唱会,686662b2ec53a20001ba303f,686662b2ec53a20001ba303f,2025.10.26 19:30,郑州市,5af905b9c756b17a7ba2ee83,1761478200000,1761485400000,1761478200000
【鄂尔多斯】2025姜育恒永远巡回演唱会-鄂尔多斯站,68c4f3bd8d0ce1000126afa1,68c4f3bd8d0ce1000126afa0,2025.10.12 20:00,鄂尔多斯市,68c4f3117d0c980001976130,1760270400000,1760277600000,1760270400000
【辽阳】辽阳大剧院开幕五周年演出季 保利城市岛屿音乐季 沙宝亮2025《又回首》巡回演唱会,68afc63430a4390001053454,68afc63430a4390001053454,2025.11.14 19:00,辽阳市,6151a196c756b1125d1d78d2,1763118000000,1763125200000,1763118000000
